post_id,timestamp,hour,day_of_week,platform,post_type,views,likes,reposts
28,2024-01-14 06:38:00,6,Sunday,Instagram,Video,4810,119,464
29,2024-01-25 20:13:00,20,Thursday,TikTok,Image,661,733,183
30,2024-01-02 07:39:00,7,Tuesday,TikTok,Story,4817,1845,156
31,2024-01-01 21:07:00,21,Monday,Telegram,Image,7723,562,52
32,2024-01-22 21:51:00,21,Monday,VK,Video,7287,1432,295
33,2024-01-08 21:54:00,21,Monday,Telegram,Text,2280,1205,201
34,2024-01-03 11:16:00,11,Wednesday,TikTok,Story,2060,1015,273
35,2024-01-03 16:50:00,16,Wednesday,TikTok,Image,3979,707,174
36,2024-01-29 21:26:00,21,Monday,TikTok,Text,5253,735,243
37,2024-01-22 08:20:00,8,Monday,Telegram,Image,7135,315,268
38,2024-01-11 01:42:00,1,Thursday,VK,Story,3370,1597,410
39,2024-01-16 02:57:00,2,Tuesday,Instagram,Image,4787,1615,445
40,2024-01-08 09:07:00,9,Monday,Telegram,Image,682,1741,73
41,2024-01-07 02:32:00,2,Sunday,TikTok,Image,9905,968,95
42,2024-01-30 21:01:00,21,Tuesday,Telegram,Text,9393,963,360
43,2024-01-06 20:33:00,20,Saturday,TikTok,Story,388,1184,172
44,2024-01-30 20:41:00,20,Tuesday,Instagram,Story,5764,1461,386
45,2024-01-08 15:36:00,15,Monday,Instagram,Text,8079,630,405
46,2024-01-17 14:17:00,14,Wednesday,VK,Text,3959,1500,154
47,2024-01-02 19:32:00,19,Tuesday,TikTok,Text,3160,639,182
48,2024-01-17 07:23:00,7,Wednesday,VK,Video,1283,886,322
49,2024-01-12 21:59:00,21,Friday,VK,Image,4435,1640,288
50,2024-01-29 11:14:00,11,Monday,Instagram,Image,1546,1801,257
51,2024-01-11 02:21:00,2,Thursday,Telegram,Story,6779,565,74
52,2024-01-25 22:40:00,22,Thursday,Telegram,Image,6313,1981,173
53,2024-01-19 10:11:00,10,Friday,VK,Video,2003,76,329
54,2024-01-02 02:25:00,2,Tuesday,Instagram,Text,7994,1189,230
55,2024-01-03 17:43:00,17,Wednesday,TikTok,Story,9369,844,246
56,2024-01-17 14:59:00,14,Wednesday,Telegram,Story,2477,215,160
57,2024-01-14 12:17:00,12,Sunday,VK,Image,947,795,185
58,2024-01-01 17:01:00,17,Monday,Telegram,Story,7470,164,390
59,2024-01-09 02:13:00,2,Tuesday,Telegram,Text,6441,1724,142
60,2024-01-10 07:37:00,7,Wednesday,TikTok,Story,1339,1542,281
61,2024-01-29 07:17:00,7,Monday,Instagram,Text,5700,1605,394
62,2024-01-07 17:32:00,17,Sunday,TikTok,Video,9624,1107,127
63,2024-01-05 18:33:00,18,Friday,Instagram,Video,4891,1082,165
64,2024-01-04 22:35:00,22,Thursday,Telegram,Text,2465,792,26
65,2024-01-01 02:41:00,2,Monday,VK,Image,5155,1500,245
66,2024-01-26 17:45:00,17,Friday,TikTok,Story,5722,594,486
67,2024-01-19 10:37:00,10,Friday,Instagram,Image,472,717,134
68,2024-01-24 10:43:00,10,Wednesday,Telegram,Story,7883,1944,384
69,2024-01-23 15:26:00,15,Tuesday,Instagram,Video,2049,188,201
70,2024-01-09 00:14:00,0,Tuesday,Instagram,Video,344,1081,20
71,2024-01-21 05:27:00,5,Sunday,Instagram,Video,7895,1105,78
72,2024-01-29 01:17:00,1,Monday,Telegram,Story,5872,122,157
73,2024-01-18 22:51:00,22,Thursday,VK,Video,224,766,93
74,2024-01-01 16:56:00,16,Monday,VK,Video,2019,906,7
75,2024-01-17 20:13:00,20,Wednesday,VK,Video,9927,1936,471
76,2024-01-17 20:36:00,20,Wednesday,Instagram,Video,9717,830,338
77,2024-01-17 03:27:00,3,Wednesday,Telegram,Image,9832,168,258
78,2024-01-17 21:00:00,21,Wednesday,Instagram,Video,630,795,54
79,2024-01-06 22:09:00,22,Saturday,VK,Video,7949,1813,398
80,2024-01-12 23:42:00,23,Friday,VK,Image,7029,1849,35
81,2024-01-07 10:28:00,10,Sunday,Telegram,Image,4449,1063,5
82,2024-01-15 18:31:00,18,Monday,Instagram,Story,4856,1130,376
83,2024-01-09 11:05:00,11,Tuesday,TikTok,Text,1901,260,41
84,2024-01-15 18:03:00,18,Monday,TikTok,Video,5256,1552,49
85,2024-01-28 03:39:00,3,Sunday,VK,Video,7956,1125,111
86,2024-01-06 22:51:00,22,Saturday,Telegram,Video,5561,122,145
87,2024-01-28 18:16:00,18,Sunday,Instagram,Story,9328,268,229
88,2024-01-27 10:04:00,10,Saturday,Instagram,Video,5402,116,210
89,2024-01-29 07:34:00,7,Monday,VK,Text,7532,584,496
90,2024-01-02 18:48:00,18,Tuesday,VK,Image,6289,1423,305
91,2024-01-02 09:47:00,9,Tuesday,Instagram,Story,1242,1000,29
92,2024-01-02 20:55:00,20,Tuesday,Instagram,Image,7176,1391,460
93,2024-01-04 15:38:00,15,Thursday,VK,Video,7714,1816,294
94,2024-01-16 06:42:00,6,Tuesday,Instagram,Video,4940,1232,115
95,2024-01-28 10:24:00,10,Sunday,TikTok,Video,1729,436,395
96,2024-01-24 00:39:00,0,Wednesday,VK,Text,5162,1511,225
97,2024-01-10 17:06:00,17,Wednesday,Instagram,Text,862,868,58
98,2024-01-09 19:06:00,19,Tuesday,VK,Story,7005,1882,75
99,2024-01-27 20:20:00,20,Saturday,Telegram,Image,4989,1536,427
100,2024-01-03 11:21:00,11,Wednesday,VK,Video,4939,1691,215
101,2024-01-19 15:34:00,15,Friday,VK,Video,4057,927,131
102,2024-01-28 01:12:00,1,Sunday,Telegram,Video,657,1606,419
103,2024-01-16 17:42:00,17,Tuesday,TikTok,Video,4721,1153,497
104,2024-01-06 19:52:00,19,Saturday,Instagram,Text,939,1606,303
105,2024-01-22 04:55:00,4,Monday,Telegram,Image,8294,1342,397
106,2024-01-10 01:47:00,1,Wednesday,VK,Image,9343,1571,80
107,2024-01-17 09:19:00,9,Wednesday,Instagram,Story,9696,636,304
108,2024-01-25 11:02:00,11,Thursday,Telegram,Text,8448,484,66
109,2024-01-09 05:17:00,5,Tuesday,Instagram,Video,7098,561,229
110,2024-01-10 17:59:00,17,Wednesday,Instagram,Image,610,353,470
111,2024-01-22 09:38:00,9,Monday,Telegram,Image,1237,637,332
112,2024-01-14 06:35:00,6,Sunday,Instagram,Text,5706,145,392
113,2024-01-08 14:45:00,14,Monday,TikTok,Story,4766,286,276
114,2024-01-18 00:58:00,0,Thursday,Telegram,Story,9006,1844,360
115,2024-01-30 12:50:00,12,Tuesday,TikTok,Video,5534,1566,71
116,2024-01-04 12:16:00,12,Thursday,VK,Story,6546,1932,208
117,2024-01-23 13:22:00,13,Tuesday,Instagram,Image,2754,40,271
118,2024-01-06 15:10:00,15,Saturday,VK,Story,1090,256,143
119,2024-01-10 13:33:00,13,Wednesday,VK,Video,7920,420,250
120,2024-01-19 22:26:00,22,Friday,Instagram,Image,2260,36,283
121,2024-01-13 02:12:00,2,Saturday,Telegram,Story,5840,82,178
122,2024-01-24 02:30:00,2,Wednesday,Instagram,Story,4557,1986,439
123,2024-01-05 19:10:00,19,Friday,VK,Text,2163,1130,79
124,2024-01-18 16:06:00,16,Thursday,VK,Video,2077,682,56
125,2024-01-01 03:26:00,3,Monday,Telegram,Story,8667,1379,365
126,2024-01-15 22:38:00,22,Monday,Instagram,Text,9033,485,307
127,2024-01-16 12:41:00,12,Tuesday,VK,Image,2767,1333,173
128,2024-01-17 06:19:00,6,Wednesday,TikTok,Text,9532,1332,461
129,2024-01-29 20:03:00,20,Monday,VK,Text,5019,296,237
130,2024-01-16 13:23:00,13,Tuesday,VK,Story,8709,1918,491
131,2024-01-13 14:21:00,14,Saturday,Telegram,Story,7742,1482,165
132,2024-01-11 07:00:00,7,Thursday,TikTok,Story,8898,221,83
133,2024-01-29 00:22:00,0,Monday,VK,Text,8859,1109,492
134,2024-01-05 10:14:00,10,Friday,VK,Image,643,410,47
135,2024-01-02 03:58:00,3,Tuesday,TikTok,Video,983,664,126
136,2024-01-24 11:47:00,11,Wednesday,Instagram,Text,4898,1067,168
137,2024-01-12 05:58:00,5,Friday,Instagram,Story,8140,507,353
138,2024-01-07 21:14:00,21,Sunday,VK,Video,9515,857,373
139,2024-01-20 08:50:00,8,Saturday,VK,Image,5818,1549,442
140,2024-01-16 11:39:00,11,Tuesday,Instagram,Video,2168,1361,348
141,2024-01-30 13:17:00,13,Tuesday,Telegram,Story,7578,107,66
142,2024-01-02 20:53:00,20,Tuesday,TikTok,Text,8220,375,329
143,2024-01-21 11:07:00,11,Sunday,TikTok,Text,7920,1762,339
144,2024-01-21 15:23:00,15,Sunday,Telegram,Story,1886,472,193
145,2024-01-03 12:27:00,12,Wednesday,Telegram,Text,5815,37,154
146,2024-01-19 00:19:00,0,Friday,Telegram,Story,9749,722,159
147,2024-01-30 19:41:00,19,Tuesday,Telegram,Text,8369,1419,183
148,2024-01-16 03:54:00,3,Tuesday,Telegram,Text,1408,282,265
149,2024-01-13 12:47:00,12,Saturday,Telegram,Text,8939,835,167
150,2024-01-19 03:05:00,3,Friday,TikTok,Image,8844,1160,144
151,2024-01-08 02:30:00,2,Monday,Telegram,Image,8573,211,185
152,2024-01-11 21:47:00,21,Thursday,Instagram,Story,9573,1554,373
153,2024-01-16 06:16:00,6,Tuesday,Telegram,Image,4961,1320,352
154,2024-01-17 12:16:00,12,Wednesday,Telegram,Story,2876,459,261
155,2024-01-21 21:20:00,21,Sunday,TikTok,Video,1696,1121,422
156,2024-01-01 21:46:00,21,Monday,TikTok,Video,579,1351,494
157,2024-01-05 16:56:00,16,Friday,Telegram,Image,3412,28,273
158,2024-01-19 22:11:00,22,Friday,TikTok,Video,6256,1626,456
159,2024-01-07 13:54:00,13,Sunday,VK,Video,8019,1140,327
160,2024-01-28 23:34:00,23,Sunday,TikTok,Text,6844,1491,344
161,2024-01-16 05:59:00,5,Tuesday,TikTok,Text,3998,320,222
162,2024-01-04 20:10:00,20,Thursday,TikTok,Story,2172,421,41
163,2024-01-21 08:40:00,8,Sunday,TikTok,Video,9587,751,3
164,2024-01-03 14:28:00,14,Wednesday,Instagram,Story,5724,633,275
165,2024-01-23 04:48:00,4,Tuesday,Instagram,Story,1038,741,283
166,2024-01-23 14:42:00,14,Tuesday,Instagram,Video,8276,644,423
167,2024-01-10 09:45:00,9,Wednesday,Telegram,Image,861,507,192
168,2024-01-01 11:03:00,11,Monday,Telegram,Video,7354,253,103
169,2024-01-25 03:26:00,3,Thursday,VK,Text,1769,699,246
170,2024-01-06 13:14:00,13,Saturday,Instagram,Video,7228,586,299
171,2024-01-20 11:01:00,11,Saturday,Telegram,Image,3962,1413,22
172,2024-01-22 01:03:00,1,Monday,TikTok,Story,2785,524,440
173,2024-01-03 07:04:00,7,Wednesday,TikTok,Story,6734,216,302
174,2024-01-28 07:53:00,7,Sunday,Instagram,Text,2031,957,12
175,2024-01-13 06:35:00,6,Saturday,VK,Text,7408,403,143
176,2024-01-17 14:58:00,14,Wednesday,VK,Text,4039,1054,217
177,2024-01-17 10:24:00,10,Wednesday,TikTok,Story,1226,1838,182
178,2024-01-02 03:16:00,3,Tuesday,VK,Text,6121,1560,350
179,2024-01-14 22:40:00,22,Sunday,Instagram,Video,6537,1376,241
180,2024-01-20 06:08:00,6,Saturday,TikTok,Story,7139,727,192
181,2024-01-19 13:36:00,13,Friday,Telegram,Image,5473,211,464
182,2024-01-20 21:53:00,21,Saturday,Telegram,Story,1303,129,271
183,2024-01-27 01:05:00,1,Saturday,VK,Video,4235,1682,374
184,2024-01-01 14:14:00,14,Monday,TikTok,Video,8811,1845,164
185,2024-01-18 01:08:00,1,Thursday,TikTok,Text,8004,1840,179
186,2024-01-27 19:43:00,19,Saturday,Telegram,Story,2383,398,116
187,2024-01-06 03:12:00,3,Saturday,TikTok,Story,4658,1570,265
188,2024-01-15 23:16:00,23,Monday,TikTok,Story,5447,1857,377
189,2024-01-27 18:39:00,18,Saturday,TikTok,Image,7967,243,37
190,2024-01-19 06:29:00,6,Friday,VK,Text,6044,1666,43
191,2024-01-16 05:19:00,5,Tuesday,TikTok,Video,8774,611,350
192,2024-01-04 10:11:00,10,Thursday,Instagram,Video,2577,1353,73
193,2024-01-23 21:30:00,21,Tuesday,VK,Text,3193,721,437
194,2024-01-09 19:28:00,19,Tuesday,TikTok,Video,8634,991,368
195,2024-01-18 14:22:00,14,Thursday,TikTok,Video,7307,1213,225
196,2024-01-26 19:17:00,19,Friday,Instagram,Text,9754,866,306
197,2024-01-02 14:47:00,14,Tuesday,VK,Video,9494,1401,307
198,2024-01-29 07:32:00,7,Monday,Telegram,Story,9913,85,453
199,2024-01-29 03:45:00,3,Monday,Telegram,Image,6327,658,347
200,2024-01-01 03:17:00,3,Monday,VK,Text,3635,659,475
201,2024-01-17 07:49:00,7,Wednesday,TikTok,Image,7104,505,314
202,2024-01-25 02:18:00,2,Thursday,TikTok,Video,3013,1555,12
203,2024-01-11 11:27:00,11,Thursday,Telegram,Video,9481,1234,424
204,2024-01-16 17:51:00,17,Tuesday,Telegram,Story,2440,839,11
205,2024-01-18 11:44:00,11,Thursday,Telegram,Text,9895,1379,49
206,2024-01-20 08:08:00,8,Saturday,Instagram,Video,5389,492,487
207,2024-01-30 05:47:00,5,Tuesday,Telegram,Text,697,1252,312
208,2024-01-15 08:26:00,8,Monday,Instagram,Text,8936,1093,433
209,2024-01-11 21:48:00,21,Thursday,VK,Text,7245,1000,248
210,2024-01-19 07:30:00,7,Friday,TikTok,Text,3002,1692,118
211,2024-01-02 22:51:00,22,Tuesday,Telegram,Text,6745,628,56
212,2024-01-05 13:06:00,13,Friday,TikTok,Image,9055,559,181
213,2024-01-25 03:14:00,3,Thursday,TikTok,Story,7794,655,449
214,2024-01-21 23:26:00,23,Sunday,Telegram,Text,4930,1944,263
215,2024-01-29 13:06:00,13,Monday,Telegram,Image,7646,1254,105
216,2024-01-08 22:11:00,22,Monday,VK,Video,7468,1848,190
217,2024-01-03 00:31:00,0,Wednesday,Instagram,Text,9934,1974,136
218,2024-01-02 04:54:00,4,Tuesday,Instagram,Video,2260,511,187
219,2024-01-13 15:47:00,15,Saturday,TikTok,Text,5978,1166,119
220,2024-01-07 00:40:00,0,Sunday,Telegram,Image,7763,855,241
221,2024-01-14 10:40:00,10,Sunday,VK,Image,3849,62,318
222,2024-01-13 17:43:00,17,Saturday,VK,Image,3022,459,71
223,2024-01-04 23:59:00,23,Thursday,VK,Story,6586,71,242
224,2024-01-17 00:38:00,0,Wednesday,VK,Video,8212,1056,130
225,2024-01-25 09:53:00,9,Thursday,VK,Story,8871,53,456
226,2024-01-08 17:11:00,17,Monday,Instagram,Text,3904,829,268
227,2024-01-27 01:04:00,1,Saturday,Instagram,Video,4978,1591,392
228,2024-01-02 06:02:00,6,Tuesday,Instagram,Image,2468,668,478
229,2024-01-06 15:55:00,15,Saturday,Telegram,Video,8193,737,472
230,2024-01-06 15:20:00,15,Saturday,TikTok,Image,4032,861,51
231,2024-01-28 08:24:00,8,Sunday,VK,Story,5708,56,491
232,2024-01-16 05:18:00,5,Tuesday,Telegram,Story,6735,1892,61
233,2024-01-15 04:45:00,4,Monday,VK,Image,6495,829,118
234,2024-01-22 01:06:00,1,Monday,Instagram,Image,6201,1057,364
235,2024-01-12 13:26:00,13,Friday,Telegram,Text,9392,1690,263
236,2024-01-22 13:45:00,13,Monday,Instagram,Story,9962,98,238
237,2024-01-18 11:59:00,11,Thursday,VK,Story,5631,1207,350
238,2024-01-30 03:36:00,3,Tuesday,VK,Text,5070,1609,380
239,2024-01-12 08:51:00,8,Friday,TikTok,Story,6444,1152,254
240,2024-01-09 05:15:00,5,Tuesday,VK,Image,8508,744,172
241,2024-01-02 10:09:00,10,Tuesday,Instagram,Video,475,1701,308
242,2024-01-22 22:56:00,22,Monday,VK,Video,7987,187,236
243,2024-01-27 12:31:00,12,Saturday,TikTok,Story,1709,1028,318
244,2024-01-15 12:52:00,12,Monday,TikTok,Text,3039,1865,94
245,2024-01-21 17:35:00,17,Sunday,Instagram,Image,4162,1957,336
246,2024-01-05 23:18:00,23,Friday,Telegram,Video,1713,1375,494
247,2024-01-30 20:56:00,20,Tuesday,VK,Image,6678,1601,56
248,2024-01-06 03:20:00,3,Saturday,TikTok,Story,7951,1092,437
249,2024-01-30 14:42:00,14,Tuesday,VK,Story,3779,910,402
250,2024-01-11 12:31:00,12,Thursday,VK,Video,7640,447,66
251,2024-01-01 19:14:00,19,Monday,Telegram,Story,9588,1461,45
252,2024-01-04 02:59:00,2,Thursday,TikTok,Text,7174,435,93
253,2024-01-05 08:55:00,8,Friday,VK,Story,4096,977,137
254,2024-01-09 11:03:00,11,Tuesday,TikTok,Story,4886,1414,368
255,2024-01-21 08:19:00,8,Sunday,Instagram,Story,5795,495,92
256,2024-01-09 22:34:00,22,Tuesday,Instagram,Image,9447,1765,231
257,2024-01-23 17:11:00,17,Tuesday,VK,Image,7098,1218,401
258,2024-01-04 20:19:00,20,Thursday,TikTok,Video,2466,1592,395
259,2024-01-30 10:45:00,10,Tuesday,VK,Video,6864,469,48
260,2024-01-02 18:37:00,18,Tuesday,TikTok,Video,9076,1922,22
261,2024-01-27 15:20:00,15,Saturday,TikTok,Story,9373,930,61
262,2024-01-12 10:42:00,10,Friday,Telegram,Image,1714,1135,266
263,2024-01-02 12:40:00,12,Tuesday,Telegram,Text,4655,1589,328
264,2024-01-03 01:21:00,1,Wednesday,Telegram,Story,2516,1048,117
265,2024-01-15 19:57:00,19,Monday,VK,Story,7388,757,439
266,2024-01-09 07:29:00,7,Tuesday,Telegram,Story,6962,1906,87
267,2024-01-02 23:49:00,23,Tuesday,Telegram,Text,3753,60,88
268,2024-01-20 21:23:00,21,Saturday,Instagram,Video,6739,318,54
269,2024-01-18 04:16:00,4,Thursday,TikTok,Text,596,1067,152
270,2024-01-27 17:07:00,17,Saturday,TikTok,Video,604,1669,238
271,2024-01-17 04:48:00,4,Wednesday,Telegram,Text,7799,1014,264
272,2024-01-18 23:16:00,23,Thursday,TikTok,Image,5833,1622,267
273,2024-01-15 18:55:00,18,Monday,Instagram,Story,8155,1937,394
274,2024-01-03 18:27:00,18,Wednesday,Instagram,Story,3316,644,112
275,2024-01-16 13:19:00,13,Tuesday,Telegram,Story,5788,214,165
276,2024-01-24 14:26:00,14,Wednesday,Instagram,Video,9700,749,155
277,2024-01-15 12:00:00,12,Monday,TikTok,Text,4464,1103,7
278,2024-01-04 06:55:00,6,Thursday,VK,Image,6142,1263,201
279,2024-01-04 03:55:00,3,Thursday,TikTok,Text,1577,1513,216
280,2024-01-30 02:34:00,2,Tuesday,VK,Story,5060,542,430
281,2024-01-29 08:18:00,8,Monday,Telegram,Image,2497,117,291
282,2024-01-14 18:30:00,18,Sunday,VK,Image,8401,885,380
283,2024-01-13 02:29:00,2,Saturday,Instagram,Story,8941,1274,49
284,2024-01-05 18:53:00,18,Friday,TikTok,Text,6294,260,106
285,2024-01-10 23:33:00,23,Wednesday,VK,Story,7670,144,8
286,2024-01-03 09:16:00,9,Wednesday,TikTok,Text,7830,1123,232
287,2024-01-07 01:54:00,1,Sunday,Telegram,Image,1599,1624,187
288,2024-01-08 09:57:00,9,Monday,Telegram,Image,7335,1473,455
289,2024-01-05 02:15:00,2,Friday,Instagram,Story,695,698,322
290,2024-01-14 16:58:00,16,Sunday,Telegram,Image,1078,1331,308
291,2024-01-22 08:26:00,8,Monday,VK,Video,830,416,337
292,2024-01-23 11:12:00,11,Tuesday,Telegram,Image,156,1341,109
293,2024-01-28 15:10:00,15,Sunday,Instagram,Video,2343,111,482
294,2024-01-30 02:39:00,2,Tuesday,TikTok,Image,5979,1394,144
295,2024-01-04 21:20:00,21,Thursday,TikTok,Story,1801,1880,227
296,2024-01-21 05:24:00,5,Sunday,Telegram,Story,7329,1657,308
297,2024-01-20 04:43:00,4,Saturday,VK,Video,1386,702,411
298,2024-01-29 07:24:00,7,Monday,Instagram,Story,8403,1649,113
299,2024-01-07 06:07:00,6,Sunday,VK,Image,9493,1561,62
300,2024-01-26 23:30:00,23,Friday,Instagram,Image,1047,1641,398
301,2024-01-29 02:07:00,2,Monday,Telegram,Story,4221,1326,274
302,2024-01-06 16:48:00,16,Saturday,Instagram,Image,6653,1179,123
303,2024-01-13 21:49:00,21,Saturday,Instagram,Text,857,413,85
304,2024-01-13 02:53:00,2,Saturday,Telegram,Text,5751,823,69
305,2024-01-26 03:32:00,3,Friday,VK,Image,7373,1035,46
306,2024-01-23 15:55:00,15,Tuesday,Telegram,Story,3635,1152,198
307,2024-01-24 11:48:00,11,Wednesday,Instagram,Video,2393,864,363
308,2024-01-13 23:51:00,23,Saturday,Telegram,Story,1204,1639,431
309,2024-01-03 09:00:00,9,Wednesday,Instagram,Video,8953,1224,200
310,2024-01-22 16:16:00,16,Monday,Telegram,Story,1008,1036,275
311,2024-01-01 05:01:00,5,Monday,TikTok,Image,6639,951,36
312,2024-01-01 11:39:00,11,Monday,TikTok,Text,4717,1030,202
313,2024-01-01 03:10:00,3,Monday,Telegram,Story,7169,1520,129
314,2024-01-08 06:52:00,6,Monday,VK,Video,2411,1656,447
315,2024-01-25 19:43:00,19,Thursday,Instagram,Text,889,186,469
316,2024-01-05 05:42:00,5,Friday,TikTok,Video,271,1290,495
317,2024-01-14 17:38:00,17,Sunday,VK,Image,8089,882,291
318,2024-01-19 12:01:00,12,Friday,Instagram,Text,1985,1567,388
319,2024-01-25 00:24:00,0,Thursday,TikTok,Video,8767,486,63
320,2024-01-23 17:45:00,17,Tuesday,TikTok,Story,1149,407,262
321,2024-01-17 00:53:00,0,Wednesday,Telegram,Image,4229,1529,453
322,2024-01-01 09:29:00,9,Monday,Instagram,Image,1261,229,119
323,2024-01-27 12:50:00,12,Saturday,VK,Image,915,182,277
324,2024-01-25 01:43:00,1,Thursday,VK,Story,3866,745,201
325,2024-01-26 10:31:00,10,Friday,VK,Story,9045,1423,45
326,2024-01-06 04:15:00,4,Saturday,Instagram,Text,4761,511,167
327,2024-01-03 18:54:00,18,Wednesday,VK,Story,8753,1610,444
328,2024-01-08 16:53:00,16,Monday,VK,Text,3339,1822,109
329,2024-01-13 13:10:00,13,Saturday,VK,Image,8372,770,45
330,2024-01-25 20:17:00,20,Thursday,Telegram,Text,2904,1293,211
331,2024-01-12 11:38:00,11,Friday,Telegram,Video,8131,140,27
332,2024-01-08 10:49:00,10,Monday,Instagram,Image,969,1146,86
333,2024-01-24 17:37:00,17,Wednesday,Instagram,Image,5626,807,290
334,2024-01-01 13:04:00,13,Monday,VK,Text,7841,808,384
335,2024-01-20 06:31:00,6,Saturday,Telegram,Image,4794,939,156
336,2024-01-29 09:04:00,9,Monday,TikTok,Story,9098,732,264
337,2024-01-29 00:08:00,0,Monday,TikTok,Video,2034,1053,264
338,2024-01-09 16:53:00,16,Tuesday,VK,Text,5272,224,21
339,2024-01-28 20:31:00,20,Sunday,VK,Text,803,1343,255
340,2024-01-28 18:14:00,18,Sunday,Telegram,Image,2623,1284,190
341,2024-01-05 00:41:00,0,Friday,Telegram,Story,2739,497,449
342,2024-01-14 07:50:00,7,Sunday,Telegram,Image,6259,1415,463
343,2024-01-27 21:54:00,21,Saturday,Instagram,Image,4009,1442,231
344,2024-01-21 13:12:00,13,Sunday,Instagram,Text,1264,1304,185
345,2024-01-08 09:27:00,9,Monday,VK,Image,719,1967,325
346,2024-01-07 01:16:00,1,Sunday,Instagram,Video,8082,1440,182
347,2024-01-17 05:15:00,5,Wednesday,Telegram,Image,3166,1725,396
348,2024-01-16 06:49:00,6,Tuesday,Telegram,Image,4972,1227,480
349,2024-01-17 22:16:00,22,Wednesday,Instagram,Text,8738,1474,402
350,2024-01-04 07:40:00,7,Thursday,TikTok,Image,2437,322,462
351,2024-01-02 15:28:00,15,Tuesday,VK,Story,8500,88,416
352,2024-01-09 08:39:00,8,Tuesday,TikTok,Text,5694,189,201
353,2024-01-05 14:55:00,14,Friday,VK,Image,2560,1013,64
354,2024-01-29 10:21:00,10,Monday,TikTok,Video,6920,684,443
355,2024-01-04 02:55:00,2,Thursday,Instagram,Video,5646,1747,395
356,2024-01-08 13:33:00,13,Monday,VK,Text,3542,23,42
357,2024-01-18 17:47:00,17,Thursday,VK,Text,2811,868,220
358,2024-01-16 13:06:00,13,Tuesday,VK,Image,1391,255,16
359,2024-01-10 07:23:00,7,Wednesday,Telegram,Story,5474,1047,323
360,2024-01-23 06:57:00,6,Tuesday,Telegram,Image,9692,108,284
361,2024-01-10 02:41:00,2,Wednesday,TikTok,Video,2755,42,182
362,2024-01-08 14:46:00,14,Monday,Instagram,Story,6613,1469,390
363,2024-01-24 08:21:00,8,Wednesday,Telegram,Story,7494,266,43
364,2024-01-20 15:52:00,15,Saturday,VK,Story,804,43,460
365,2024-01-16 17:57:00,17,Tuesday,Telegram,Image,925,28,388
366,2024-01-22 17:29:00,17,Monday,Instagram,Video,9296,1697,187
367,2024-01-22 13:04:00,13,Monday,Telegram,Text,476,1293,389
368,2024-01-30 15:15:00,15,Tuesday,VK,Image,1072,1709,481
369,2024-01-04 07:37:00,7,Thursday,TikTok,Text,4313,598,262
370,2024-01-21 15:49:00,15,Sunday,VK,Story,543,1859,173
371,2024-01-11 15:38:00,15,Thursday,Instagram,Story,7619,1449,440
372,2024-01-02 17:31:00,17,Tuesday,TikTok,Image,854,146,53
373,2024-01-19 21:56:00,21,Friday,Telegram,Video,4835,368,219
374,2024-01-11 03:19:00,3,Thursday,Telegram,Story,5496,1753,45
375,2024-01-14 13:08:00,13,Sunday,Telegram,Text,3565,763,393
376,2024-01-03 02:51:00,2,Wednesday,TikTok,Text,2811,1612,259
377,2024-01-16 00:06:00,0,Tuesday,VK,Image,2507,1149,194
